ICAO,IATA,AIRPORT,COUNTRY,GEOGRAPHIC REGION,777-200LR,777-300ER,777F,A380
AGGH ,HIR,HONIARA,SOLOMON ISLANDS,OCEANIA,A2,A2,A2,-
AYPY,POM,PORT MORESBY,PAPAUA NEW GUINEA,OCEANIA,A2,A2,A2,-
BGSF,SFJ,KANGERLUSSUAQ / STROMFORD,GREENLAND,EUROPE,EA,EA,EA,EA
BGTL,THU,THULE,GREENLAND,EUROPE,EA,EA,EA,-
BIKF,KEF,KEFLAVIK,ICELAND,EUROPE,A1,A1,A1,A2
CYEG,YEG,EDMONTON,CANADA,NORTH AMERICA,A1,A1,A1,A1
CYFB ,YFB,IQALUIT/FROBISHER BAY,CANADA,NORTH AMERICA,CA,CA,CA,EA
CYHM,YHM,HAMILTON,CANADA,NORTH AMERICA,CA,CA,CA,CA
CYHZ,YHZ,HALIFAX,CANADA,NORTH AMERICA,A1,A1,A1,-
CYMM,YMM,FORT MCMURRAY,CANADA,NORTH AMERICA,CA,CA,CA,-
CYOW,YOW,OTTAWA,CANADA,NORTH AMERICA,A1,A1,A1,A2
CYQB ,YQB,QUEBEC,CANADA,NORTH AMERICA,CA,CA,CA,CA
CYQX ,YQX,GANDER,CANADA,NORTH AMERICA,A2,A2,A2,A2
CYTR,YTR,TRENTON,CANADA,NORTH AMERICA,CA,CA,CA,CA
CYUL ,YUL,MONTREAL,CANADA,NORTH AMERICA,A1,A1,A1,A1
CYVR,YVR,VANCOUVER,CANADA,NORTH AMERICA,A1,A1,A1,A1
CYWG,YWG,WINNIPEG,CANADA,NORTH AMERICA,A1,A1,A1,A2
CYXE,YXE,SASKATOON / JOHN G. DIEFENBACHER,CANADA,NORTH AMERICA,CA,CA,CA,CA
CYXU,YXU,LONDON,CANADA,NORTH AMERICA,CA,CA,CA,-
CYXY ,YXY,WHITEHORSE,CANADA,NORTH AMERICA,CA,CA,A1,-
CYYC,YYC,CALGARY,CANADA,NORTH AMERICA,A1,A1,A1,CA
CYYR,YYR,GOOSEBAY,CANADA,NORTH AMERICA,A2,A2,A2,CA
CYYT,YYT,ST. JOHN'S,CANADA,NORTH AMERICA,A2,A2,A2,CA
CYYZ,YYZ,TORONTO,CANADA,NORTH AMERICA,D,D,D,D
CYZF,YZF,YELLOWKNIFE,CANADA,NORTH AMERICA,CA,CA,CA,CA
DAAG ,ALG,ALGIERS,ALGERIA,AFRICA,D,D,D,-
DAAT,TMR,TAMANRASSET,ALGERIA,AFRICA,A1,A1,A1,-
DAOO,ORN,ORAN,ALGERIA,AFRICA,A1,A1,A1,-
DAUZ,IAM,ZARZAITINE,ALGERIA,AFRICA,CA,CA,CA,-
DBBB,COO,COTONOU,BENIN,AFRICA,A1,A1,A1,-
DFFD,OUA,OUAGADOUGOU,BURKINA,AFRICA,A1,A1,D,-
DGAA,ACC,ACRA,GHANA,AFRICA,D,D,D,A1
DIAP,ABJ,ABIDJAN,IVORY COAST,AFRICA,D,D,D,A1
DNAA,ABV,ABUJA,NIGERIA,AFRICA,D,D,D,-
DNKN,KAN,KANO,NIGERIA,AFRICA,CA,CA,A1,-
DNMM,LOS,LAGOS,NIGERIA,AFRICA,D,D,D,
DNPO,PHC,PORT HARCOURT,NIGERIA,AFRICA,A2,A2,A2,-
DRRN ,NIM,NIAMEY,NIGER ,AFRICA,A1,A1,a1,-
DTKA,TBJ,TABARAKA,TUNISIA,AFRICA,A2,A2,A2,
DTMB,MIR,MONASTIR,TUNISIA,AFRICA,A1,A1,A1,
DTNH,NBE,ENFIDHA,TUNISIA,AFRICA,A2,A2,A2,CA
DTTA,TUN,TUNIS,TUNISIA,AFRICA,D,D,D,CA
DTTJ,DJE,DJERBA,TUNISIA,AFRICA,A1,A1,A1,
DTTX,SFA,SFAX,TUNISIA,AFRICA,A1,A1,A1,
